year,location_id,team_id,wins,losses,ties,win_loss_percentage,super_bowl_champion,points_scored,opponent_points_scored,points_scored_difference,DSRS,MoV,OSRS,SRS,SoS
2022,1,1000,4,6,0,0.4,0,230,258,-28,-3,-2.8,-0.7,-3.6,-0.8
2022,2,1001,4,6,0,0.4,0,232,250,-18,-4.1,-1.8,0.1,-4,-2.2
2022,3,1002,6,3,0,0.667,0,235,196,39,1.4,4.3,6.2,7.6,3.2
2022,4,1003,6,3,0,0.667,0,250,151,99,6.3,11,6.9,13.2,2.2
2022,5,1004,3,7,0,0.3,0,204,243,-39,-3.5,-3.9,-2.3,-5.9,-2
2022,6,1005,3,7,0,0.3,0,217,247,-30,-2.8,-3,0.8,-2.1,0.9
2022,7,1006,5,4,0,0.556,0,228,185,43,2.4,4.8,2.9,5.4,0.6
2022,8,1007,3,6,0,0.333,0,217,238,-21,-3.9,-2.3,2.2,-1.6,0.7
2022,9,1008,6,3,0,0.667,0,211,164,47,3.2,5.2,2,5.1,-0.1
2022,10,1009,3,6,0,0.333,0,131,149,-18,4.1,-2,-8,-3.9,-1.9
2022,11,1010,3,6,0,0.333,0,219,264,-45,-5.9,-5,3.3,-2.6,2.4
2022,12,1011,4,6,0,0.4,0,185,216,-31,1.2,-3.1,-1.5,-0.3,2.8
2022,13,1012,1,7,1,0.167,0,149,207,-58,-2.6,-6.4,-5.3,-7.8,-1.4
2022,14,1013,4,5,1,0.45,0,157,203,-46,0.4,-4.6,-5.7,-5.2,-0.6
2022,15,1014,3,7,0,0.3,0,216,205,11,-0.2,1.1,-0.5,-0.7,-1.8
2022,16,1015,7,2,0,0.778,0,270,206,64,-2.3,7.1,8.5,6.2,-0.9
2022,17,1016,2,7,0,0.222,0,203,226,-23,-4.9,-2.6,-0.1,-5,-2.5
2022,18,1017,5,4,0,0.556,0,200,228,-28,-3.5,-3.1,-1.2,-4.7,-1.6
2022,18,1018,3,6,0,0.333,0,148,200,-52,-1,-5.8,-5.1,-6.1,-0.3
2022,19,1019,7,3,0,0.7,0,252,241,11,0.1,1.1,4.1,4.2,3.1
2022,20,1020,8,1,0,0.889,0,226,191,35,2.4,3.9,3,5.4,1.6
2022,21,1021,5,4,0,0.556,0,203,166,37,4.3,4.1,0.2,4.5,0.4
2022,22,1022,3,7,0,0.3,0,222,247,-25,-2.7,-2.5,-0.6,-3.3,-0.8
2022,23,1023,7,2,0,0.778,0,187,173,14,2.5,1.6,-1.8,0.7,-0.8
2022,23,1024,6,3,0,0.667,0,196,176,20,3.2,2.2,1.6,4.8,2.6
2022,24,1025,8,1,0,0.889,0,246,167,79,2.4,8.8,5.1,7.5,-1.2
2022,25,1026,3,6,0,0.333,0,140,207,-67,1,-7.4,-4.4,-3.4,4
2022,26,1027,5,4,0,0.556,0,198,163,35,2.9,3.9,-1.8,1.1,-2.8
